id,course_code,mid_score,mid_participation_score,mid_lab_score,final_grade,sex,age,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,activities,higher,health,wassce
Stu0,UFS101,7.55,1.79,1.79,B,male,60,urban,primary education,none,health,other,course,other,30mins - 1 hour,5-10 hours,no,yes,2,34
Stu1,CS103,6.19,0.86,3.49,A-,male,36,rural,junior high,none,at home,teacher,course,other,30mins - 1 hour,5-10 hours,yes,no,8,27
Stu2,FRN101,15.02,1.74,4.59,A+,male,56,urban,secondary education,primary education,teacher,other,other,other,> 1hour,2-5 hours,no,yes,8,10
Stu3,UFS101,4.18,0.18,1.25,C-,male,52,rural,junior high,higher education,teacher,other,other,father,1-15 mins,5-10 hours,yes,yes,2,14
Stu4,CS103,16.4,3.95,3.35,A+,male,43,urban,junior high,higher education,other,teacher,reputation,father,> 1hour,2-5 hours,no,yes,8,12
Stu5,FRN101,12.42,1.89,4.69,A+,female,49,rural,secondary education,junior high,at home,at home,reputation,other,> 1hour,2-5 hours,yes,no,1,29
Stu6,UFS101,3.54,1.83,4.09,B+,female,23,rural,primary education,none,teacher,civil,reputation,father,> 1hour,2-5 hours,no,no,7,38
Stu7,IT102,0.16,2.9,0.56,F,female,20,urban,higher education,secondary education,other,teacher,course,father,15-30 mins,< 2hours,no,no,5,25
Stu8,CS103,14.78,0.66,0.37,A+,female,40,urban,none,higher education,at home,at home,reputation,father,15-30 mins,>10 hours,yes,no,1,43
Stu9,UFS101,7.0,4.81,0.44,C,male,18,urban,none,secondary education,teacher,other,other,other,15-30 mins,< 2hours,yes,no,10,9
Stu10,ENG101,17.05,2.91,2.03,A+,female,37,urban,secondary education,none,teacher,teacher,reputation,father,15-30 mins,< 2hours,yes,no,9,36
Stu11,UFS101,0.92,3.13,0.26,F,male,51,rural,higher education,primary education,health,teacher,course,father,> 1hour,5-10 hours,yes,no,10,18
